VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020/12/1 0:23,2020/12/1 0:45,3,17.76,2,N,132,162,1,52,0,0.5,10.8,6.12,0.3,72.22,2.5
1,2020/12/1 0:41,2020/12/1 0:52,1,2.4,1,N,161,143,1,10,3,0.5,2.75,0,0.3,16.55,2.5
1,2020/12/1 0:57,2020/12/1 1:16,1,5.1,1,N,143,168,2,18,3,0.5,0,0,0.3,21.8,2.5
2,2020/12/1 0:12,2020/12/1 0:37,1,11.21,1,N,48,89,4,32,0.5,0.5,0,0,0.3,35.8,2.5
2,2020/12/1 0:12,2020/12/1 0:37,1,11.21,1,N,48,188,2,32,0.5,0.5,0,0,0.3,35.8,2.5
2,2020/12/1 0:43,2020/12/1 1:05,2,16.77,2,N,132,170,1,52,0,0.5,10,6.12,0.3,71.42,2.5
2,2020/12/1 0:24,2020/12/1 0:27,1,0.8,1,N,234,90,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,2020/12/1 0:53,2020/12/1 0:59,1,1.52,1,N,230,143,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2020/12/1 0:17,2020/12/1 0:38,1,3.56,1,N,68,232,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,2020/12/1 0:45,2020/12/1 0:58,1,3.83,1,N,79,48,1,13.5,0.5,0.5,2.7,0,0.3,20,2.5
1,2020/12/1 0:00,2020/12/1 0:07,1,2.9,1,N,137,262,1,9.5,3,0.5,2.66,0,0.3,15.96,2.5
1,2020/12/1 0:03,2020/12/1 0:20,1,6.9,1,N,170,168,2,20.5,3,0.5,0,0,0.3,24.3,2.5
1,2020/12/1 0:06,2020/12/1 0:23,1,10.3,1,N,138,162,2,30,3,0.5,0,6.12,0.3,39.92,2.5
2,2020/11/30 23:36,2020/11/30 23:57,1,10.07,1,N,138,142,1,29.5,0.5,0.5,7.88,6.12,0.3,47.3,2.5
2,2020/12/1 0:05,2020/12/1 0:20,1,4.29,1,N,142,231,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5
1,2020/12/1 0:34,2020/12/1 0:53,1,4.3,1,N,186,232,2,16.5,3,0.5,0,0,0.3,20.3,2.5
2,2020/12/1 0:40,2020/12/1 0:41,1,0.34,1,N,236,263,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,2020/12/1 0:49,2020/12/1 0:54,1,1.18,1,N,162,164,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020/12/1 0:08,2020/12/1 0:17,1,2.71,1,N,142,166,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5
1,2020/12/1 0:27,2020/12/1 0:37,0,1.2,1,N,107,107,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5
2,2020/12/1 0:36,2020/12/1 0:43,5,2.87,1,N,162,75,1,9.5,0.5,0.5,1,0,0.3,14.3,2.5
2,2020/12/1 0:47,2020/12/1 0:50,5,1.31,1,N,236,141,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020/12/1 0:32,2020/12/1 0:38,3,1.88,1,N,161,68,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2020/12/1 0:38,2020/12/1 0:45,1,1.56,1,N,140,236,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020/12/1 0:32,2020/12/1 0:57,1,17.34,2,N,132,229,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020/12/1 0:26,2020/12/1 0:29,1,0.6,1,N,170,233,1,4.5,0.5,0.5,2,0,0.3,10.3,2.5
1,2020/12/1 0:21,2020/12/1 0:26,1,0.9,1,N,249,90,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,2020/12/1 0:46,2020/12/1 0:55,1,2,1,N,137,230,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5
2,2020/11/30 23:56,2020/11/30 23:59,1,0.59,1,N,48,50,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2020/12/1 0:55,2020/12/1 1:29,1,0,1,N,42,76,1,42.2,0,0.5,0,6.12,0.3,49.12,0
2,2020/12/1 0:07,2020/12/1 0:16,1,1.82,1,N,142,141,1,8.5,0.5,0.5,2,0,0.3,14.3,2.5
2,2020/12/1 0:54,2020/12/1 0:56,1,0.24,1,N,236,75,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,2020/12/1 0:04,2020/12/1 0:13,1,2.24,1,N,114,170,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020/12/1 0:31,2020/12/1 0:38,2,3.18,1,N,229,74,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2020/12/1 0:22,2020/12/1 0:23,1,0.33,1,N,116,152,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,2020/12/1 0:34,2020/12/1 0:37,1,1.22,1,N,50,246,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2020/12/1 0:24,2020/12/1 0:26,3,0.65,1,N,90,249,1,4,0.5,0.5,1,0,0.3,8.8,2.5
2,2020/12/1 0:43,2020/12/1 0:58,1,7.9,1,N,132,86,1,23,0.5,0.5,4.86,0,0.3,29.16,0
2,2020/12/1 0:10,2020/12/1 0:27,3,4.49,1,N,237,223,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,2020/12/1 0:51,2020/12/1 1:14,3,13.7,1,N,79,220,2,38,0.5,0.5,0,0,0.3,41.8,2.5
1,2020/12/1 0:26,2020/12/1 0:40,1,9.4,1,N,138,10,1,26,0.5,0.5,3,0,0.3,30.3,0
2,2020/12/1 0:17,2020/12/1 0:23,1,2.37,1,N,170,263,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020/12/1 0:45,2020/12/1 1:12,2,18.44,2,N,132,79,2,52,0,0.5,0,0,0.3,55.3,2.5
2,2020/11/30 23:43,2020/11/30 23:50,1,2.07,1,N,170,158,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5
2,2020/11/30 23:59,2020/12/1 0:09,1,2,1,N,231,79,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020/12/1 0:05,2020/12/1 0:30,6,7.48,1,N,141,140,1,27,0.5,0.5,2,0,0.3,32.8,2.5
1,2020/12/1 0:00,2020/12/1 0:06,2,1.2,1,Y,142,239,1,6.5,3,0.5,2.55,0,0.3,12.85,2.5
1,2020/12/1 0:29,2020/12/1 0:35,1,1.7,1,N,233,224,2,7,3,0.5,0,0,0.3,10.8,2.5
2,2020/12/1 0:25,2020/12/1 0:55,6,18.64,2,N,132,143,2,52,0,0.5,0,6.12,0.3,61.42,2.5
2,2020/12/1 0:39,2020/12/1 0:41,1,1.24,1,N,75,74,2,5.5,0.5,0.5,0,0,0.3,6.8,0
1,2020/12/1 0:19,2020/12/1 0:25,1,1.9,1,N,164,158,2,7.5,3,0.5,0,0,0.3,11.3,2.5
2,2020/12/1 0:34,2020/12/1 0:55,6,17.73,2,N,132,232,1,52,0,0.5,11.06,0,0.3,66.36,2.5
2,2020/12/1 0:58,2020/12/1 1:05,6,3.19,1,N,79,88,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,2020/12/1 0:31,2020/12/1 0:31,1,0,2,N,137,137,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020/12/1 0:11,2020/12/1 0:30,2,10.36,1,N,138,79,2,29,0.5,0.5,0,0,0.3,32.8,2.5
2,2020/12/1 0:32,2020/12/1 0:45,2,5.2,1,N,79,236,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5
1,2020/12/1 0:07,2020/12/1 0:11,1,0.5,1,N,68,48,3,5,3,0.5,0,0,0.3,8.8,2.5
2,2020/12/1 0:33,2020/12/1 1:10,1,16.74,1,N,68,259,1,49,0.5,0.5,5,0,0.3,57.8,2.5
2,2020/12/1 0:00,2020/12/1 0:05,2,1.85,1,N,137,148,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020/12/1 0:34,2020/12/1 0:40,2,1.68,1,N,75,238,1,7,0.5,0.5,1.66,0,0.3,9.96,0
2,2020/12/1 0:04,2020/12/1 0:09,2,0.77,1,N,166,166,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2020/12/1 0:12,2020/12/1 0:13,2,0.29,1,N,42,42,1,3.5,0.5,0.5,0.48,0,0.3,5.28,0
2,2020/12/1 0:26,2020/12/1 0:27,1,0.57,1,N,164,100,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,2020/12/1 0:05,2020/12/1 0:15,1,3.68,1,N,236,50,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5
2,2020/12/1 0:28,2020/12/1 0:31,1,1,1,N,229,140,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2020/12/1 0:32,2020/12/1 0:32,1,0,5,N,140,140,1,5,0,0.5,1.66,0,0.3,9.96,2.5
2,2020/12/1 0:39,2020/12/1 0:46,1,1.98,1,N,263,238,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
1,2020/12/1 0:04,2020/12/1 0:08,2,1.3,1,N,48,186,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,2020/12/1 0:11,2020/12/1 0:16,1,1.4,1,N,186,162,1,6.5,3,0.5,0,0,0.3,10.3,2.5
1,2020/12/1 0:41,2020/12/1 0:48,1,3.1,1,N,161,151,1,10.5,3,0.5,1.75,0,0.3,16.05,2.5
2,2020/12/1 0:47,2020/12/1 0:49,1,0.52,1,N,79,4,1,3.5,0.5,0.5,4,0,0.3,11.3,2.5
1,2020/12/1 0:52,2020/12/1 0:59,2,2.2,1,N,246,239,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,2020/12/1 0:27,2020/12/1 0:32,1,1.2,1,N,233,164,1,6,3,0.5,1.95,0,0.3,11.75,2.5
2,2020/11/30 13:23,2020/12/1 12:44,1,8.64,1,N,138,116,1,26.5,0.5,0.5,4,6.12,0.3,37.92,0
2,2020/12/1 0:08,2020/12/1 0:15,1,3.34,1,N,50,24,1,10.5,0.5,0.5,1.43,0,0.3,15.73,2.5
2,2020/12/1 0:34,2020/12/1 0:37,6,0.69,1,N,79,114,1,4.5,0.5,0.5,1,0,0.3,9.3,2.5
2,2020/12/1 0:21,2020/12/1 0:26,1,1.18,1,N,90,114,1,6,0.5,0.5,0.98,0,0.3,10.78,2.5
1,2020/12/1 0:02,2020/12/1 0:27,1,0,1,N,255,197,1,37.03,0,0.5,0,0,0.3,37.83,0
2,2020/12/1 0:41,2020/12/1 0:52,1,6.83,1,N,138,74,1,20,0.5,0.5,8.23,6.12,0.3,35.65,0
2,2020/12/1 0:27,2020/12/1 0:32,2,1.42,1,N,237,170,1,6.5,0.5,0.5,1,0,0.3,11.3,2.5
2,2020/12/1 0:03,2020/12/1 0:24,2,12.33,1,N,141,131,1,34.5,0.5,0.5,4,0,0.3,42.3,2.5
1,2020/12/1 0:29,2020/12/1 0:34,0,1.7,1,N,141,75,2,6.5,3,0.5,0,0,0.3,10.3,2.5
2,2020/12/1 0:05,2020/12/1 0:10,1,1.26,1,N,79,107,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020/12/1 0:27,2020/12/1 0:29,2,0.92,1,N,74,75,2,4.5,0.5,0.5,0,0,0.3,5.8,0
2,2020/12/1 0:57,2020/12/1 1:10,1,7.18,1,N,132,95,2,21.5,0.5,0.5,0,0,0.3,22.8,0
2,2020/12/1 0:13,2020/12/1 0:28,1,4.02,1,N,239,137,1,15,0.5,0.5,5.64,0,0.3,24.44,2.5
1,2020/12/1 0:26,2020/12/1 0:50,2,14.6,2,N,132,170,1,52,2.5,0.5,2,6.12,0.3,63.42,2.5
2,2020/12/1 0:34,2020/12/1 0:40,1,1.72,1,N,236,239,1,8,0.5,0.5,1.5,0,0.3,13.3,2.5
2,2020/12/1 0:27,2020/12/1 0:45,1,11.75,1,N,138,49,1,32.5,0.5,0.5,2,0,0.3,35.8,0
2,2020/12/1 0:06,2020/12/1 0:13,1,1.66,1,N,43,162,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2020/12/1 0:18,2020/12/1 0:24,1,1.95,1,N,229,263,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020/12/1 0:11,2020/12/1 0:14,1,0.97,1,N,238,166,2,5,0.5,0.5,0,0,0.3,8.8,2.5
1,2020/12/1 0:04,2020/12/1 0:29,0,18,2,Y,132,41,1,52,0,0.5,11,6.12,0.3,69.92,0
1,2020/12/1 0:43,2020/12/1 0:45,0,0.6,1,N,238,239,2,4,3,0.5,0,0,0.3,7.8,2.5
2,2020/12/1 0:34,2020/12/1 0:42,3,2.22,1,N,186,143,1,9,0.5,0.5,0.5,0,0.3,13.3,2.5
1,2020/12/1 0:02,2020/12/1 0:23,1,4,1,N,263,226,2,17,3,0.5,0,0,0.3,20.8,2.5
2,2020/12/1 0:03,2020/12/1 0:13,5,2.75,1,N,230,107,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2020/12/1 0:51,2020/12/1 0:52,4,0.4,1,N,100,48,1,3.5,0.5,0.5,1.5,0,0.3,8.8,2.5
2,2020/12/1 0:08,2020/12/1 0:11,5,1.16,1,N,238,166,1,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2020/12/1 0:03,2020/12/1 0:04,1,0.64,1,N,68,186,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
2,2020/12/1 0:16,2020/12/1 0:21,1,0.66,1,N,90,68,1,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2020/12/1 0:41,2020/12/1 0:46,6,1.64,1,N,162,100,1,7,0.5,0.5,2.7,0,0.3,13.5,2.5
2,2020/12/1 0:38,2020/12/1 1:12,1,12.88,1,N,132,25,1,39.5,0.5,0.5,8.16,0,0.3,48.96,0
2,2020/12/1 0:23,2020/12/1 0:33,5,3.06,1,N,249,229,1,11,0.5,0.5,4.44,0,0.3,19.24,2.5
2,2020/12/1 0:22,2020/12/1 0:54,1,12.68,1,N,132,189,2,37,0.5,0.5,0,0,0.3,38.3,0
1,2020/12/1 0:10,2020/12/1 0:37,1,17.3,2,N,132,137,1,52,2.5,0.5,12.25,6.12,0.3,73.67,2.5
1,2020/12/1 0:41,2020/12/1 0:46,2,0.7,1,N,162,161,2,5,3,0.5,0,0,0.3,8.8,2.5
2,2020/12/1 0:12,2020/12/1 0:31,2,6.98,1,N,234,37,2,21.5,0.5,0.5,0,0,0.3,25.3,2.5
1,2020/12/1 0:14,2020/12/1 0:27,1,8.1,1,N,132,121,1,23.5,0.5,0.5,4.95,0,0.3,29.75,0
1,2020/12/1 0:06,2020/12/1 0:13,2,1.3,1,N,186,246,1,7,3,0.5,2.15,0,0.3,12.95,2.5
1,2020/12/1 0:44,2020/12/1 0:49,1,0.6,1,N,140,141,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2020/12/1 0:22,2020/12/1 0:23,1,0,5,N,243,243,1,35,0,0,0,0,0.3,35.3,0
1,2020/12/1 0:54,2020/12/1 1:07,1,4.6,1,N,186,75,1,15,3,0.5,0.2,0,0.3,19,2.5
2,2020/12/1 0:09,2020/12/1 0:36,1,19.46,2,N,132,236,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020/12/1 0:00,2020/12/1 0:09,1,2.05,1,N,68,114,1,9,0.5,0.5,3,0,0.3,15.8,2.5
2,2020/12/1 0:33,2020/12/1 0:36,1,0.75,1,N,186,48,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2020/12/1 0:42,2020/12/1 0:59,1,7.14,1,N,48,168,2,22.5,0.5,0.5,0,0,0.3,26.3,2.5
