HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Commonname,Femalematurity,Malematurity,Gestation,LitterSize,Adultweight,Maximumlongevity
2481,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Georychus,capensis,Animalia.Chordata.Mammalia.Rodentia.Bathyergidae.Georychus.capensis,Cape mole-rat,304,304,44,5,181,11.2
2482,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heliophobius,argenteocinereus,Animalia.Chordata.Mammalia.Rodentia.Bathyergidae.Heliophobius.argenteocinereus,Silvery mole-rat,,,88,2,160,
2483,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus,glaber,Animalia.Chordata.Mammalia.Rodentia.Bathyergidae.Heterocephalus.glaber,Naked mole-rat,228,,70,7,35,31
2484,Animalia,Chordata,Mammalia,Rodentia,Calomyscidae,Calomyscus,bailwardi,Animalia.Chordata.Mammalia.Rodentia.Calomyscidae.Calomyscus.bailwardi,Mouse-like hamster,,,,3.3,20.4,9.4
2485,Animalia,Chordata,Mammalia,Rodentia,Calomyscidae,Calomyscus,mystax,Animalia.Chordata.Mammalia.Rodentia.Calomyscidae.Calomyscus.mystax,Afghan mouse-like hamster,,,,5,20.4,
2486,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Capromys,pilorides,Animalia.Chordata.Mammalia.Rodentia.Capromyidae.Capromys.pilorides,Desmarest's hutia,304,304,125,2,4683.3,13.8
2487,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Geocapromys,brownii,Animalia.Chordata.Mammalia.Rodentia.Capromyidae.Geocapromys.brownii,Brown's hutia,365,,123,2,1500,13.5
2488,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Geocapromys,ingrahami,Animalia.Chordata.Mammalia.Rodentia.Capromyidae.Geocapromys.ingrahami,Bahamian hutia,730,730,117,1,660,
2489,Animalia,Chordata,Mammalia,Rodentia,Capromyidae,Plagiodontia,aedium,Animalia.Chordata.Mammalia.Rodentia.Capromyidae.Plagiodontia.aedium,Hispaniolan hutia,,,119,1,1267,15.9
2490,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,canadensis,Animalia.Chordata.Mammalia.Rodentia.Castoridae.Castor.canadensis,American beaver,639,639,128,3.5,20250,23.4
2491,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,fiber,Animalia.Chordata.Mammalia.Rodentia.Castoridae.Castor.fiber,Eurasian beaver,639,639,105,3,25000,
2492,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,aperea,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Cavia.aperea,Brazilian guinea pig,74,77,63,2.5,341,6
2493,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,porcellus,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Cavia.porcellus,Guinea pig,66,76,68,3.8,728,12
2494,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,tschudii,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Cavia.tschudii,Montane guinea pig,62,,64,1.9,637.5,6.3
2495,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Dolichotis,patagonum,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Dolichotis.patagonum,Patagonian mara,158,183,85,2,12500,14.4
2496,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Galea,musteloides,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Galea.musteloides,Common yellow-toothed cavy,66,60,54,2.63,337.9,3.5
2497,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Galea,spixii,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Galea.spixii,Spix's yellow-toothed cavy,70,112,53,2.5,450,4.6
2498,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Hydrochoerus.hydrochaeris,Capybara,456,456,150,4.8,55000,15.1
2499,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Kerodon,rupestris,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Kerodon.rupestris,Rock cavy,151,,75,1.5,950,12.9
2500,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,lanigera,Animalia.Chordata.Mammalia.Rodentia.Chinchillidae.Chinchilla.lanigera,Long-tailed chinchilla,240,240,111,2,642.5,17.2
2501,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagidium,peruanum,Animalia.Chordata.Mammalia.Rodentia.Chinchillidae.Lagidium.peruanum,Peruvian mountain viscacha,365,365,140,1,1250,
2502,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagidium,viscacia,Animalia.Chordata.Mammalia.Rodentia.Chinchillidae.Lagidium.viscacia,Mountain viscacha,,,134,1.5,1540,19.5
2503,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Lagostomus,maximus,Animalia.Chordata.Mammalia.Rodentia.Chinchillidae.Lagostomus.maximus,Plains viscacha,258,456,154,2,6000,10.8
2504,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Alticola,argentatus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Alticola.argentatus,Silver mountain vole,,,,3.6,37.7,
2505,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Alticola,semicanus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Alticola.semicanus,Mongolian silver vole,,,,,,3.8
2506,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Alticola,strelzowi,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Alticola.strelzowi,Flat-headed vole,,,20,7.7,50,
2507,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,amphibius,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Arvicola.amphibius,European water vole,51,45,21,5.1,120,2.5
2508,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,taylori,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Baiomys.taylori,Northern pygmy mouse,44,75,20,3,8,3.3
2509,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,barabensis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Cricetulus.barabensis,Striped dwarf hamster,,,,5.3,,5.3
2510,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetus,cricetus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Cricetus.cricetus,Black-bellied hamster,43,56,20,7,506.7,3.6
2511,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,groenlandicus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Dicrostonyx.groenlandicus,Collared lemming,40,85,20,3.4,66,3.3
2512,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,richardsoni,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Dicrostonyx.richardsoni,Richardson's collared lemming,91,,21,3.5,55,
2513,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Dicrostonyx.torquatus,Arctic lemming,91,,18,4.07,85,
2514,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Eligmodontia,typus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Eligmodontia.typus,Highland gerbil mouse,49,,18,5.6,21.4,
2515,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius,talpinus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Ellobius.talpinus,Northern mole vole,,,26,3.7,40,5
2516,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lagurus,lagurus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Lagurus.lagurus,Steppe lemming,38,44,20,4.5,20.3,3.8
2517,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lasiopodomys,brandtii,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Lasiopodomys.brandtii,Brandt's vole,61,,,6,40,4.1
2518,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lemmus,lemmus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Lemmus.lemmus,Norway lemming,24,44,19,7,70,3.3
2519,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lophiomys,imhausi,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Lophiomys.imhausi,Crested rat,,,,1.75,755,7.5
2520,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,auratus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Mesocricetus.auratus,Golden hamster,48,48,16,9,105,3.9
2521,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,brandti,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Mesocricetus.brandti,Brandt's hamster,41,,15,8,174,4.4
2522,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,agrestis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.agrestis,Field vole,36,42,21,4.4,46,4.8
2523,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,arvalis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.arvalis,Common vole,38,56,21,5.1,27.5,4.8
2524,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,duodecimcostatus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.duodecimcostatus,Mediterranean pine vole,,,,2.53,23,
2525,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,guentheri,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.guentheri,Vole,60,95,21,6,51.6,3.9
2526,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,longicaudus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.longicaudus,Long-tailed vole,,,,5.22,36.7,
2527,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,ochrogaster,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.ochrogaster,Prairie vole,47,,23,3.8,40,5.3
2528,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,oeconomus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.oeconomus,Tundra vole,30,48,22,7,58,
2529,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,pennsylvanicus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.pennsylvanicus,Meadow vole,29,37,21,5.5,49,
2530,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,pinetorum,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.pinetorum,Woodland vole,98,,21,3,25.5,3.8
2531,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,richardsoni,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.richardsoni,Water vole,,,22,5.8,51,
2532,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,subterraneus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.subterraneus,European pine vole,96,,22,2.7,20,
2533,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,glareolus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Myodes.glareolus,Bank vole,47,72,20,4.3,20.8,4.9
2534,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,rufocanus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Myodes.rufocanus,Gray red-backed vole,62,,,4.1,29.5,
2535,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myopus,schisticolor,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Myopus.schisticolor,Wood lemming,33,,22,4.6,25,
2536,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,albigula,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Neotoma.albigula,White-throated woodrat,84,101,29,2,209,9.5
2537,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,cinerea,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Neotoma.cinerea,Bushy-tailed woodrat,353,,30,3.68,335.5,
2538,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,floridana,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Neotoma.floridana,Eastern woodrat,95,,33,3.5,291,8.6
2539,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,lepida,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Neotoma.lepida,Desert woodrat,76,76,33,3,236,10.5
2540,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,micropus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Neotoma.micropus,Southern plains woodrat,136,,35,2.51,236.3,
2541,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nyctomys,sumichrasti,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Nyctomys.sumichrasti,Vesper rat,,,30,2.25,50,5.7
2542,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ochrotomys,nuttalli,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Ochrotomys.nuttalli,Golden mouse,,,30,2.7,22,8.4
2543,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,zibethicus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Ondatra.zibethicus,Muskrat,285,285,26,6.7,1362,
2544,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,leucogaster,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Onychomys.leucogaster,Northern grasshopper mouse,100,114,31,4,32.5,5.6
2545,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,torridus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Onychomys.torridus,Southern grasshopper mouse,41,41,30,3.7,22,4.6
2546,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,californicus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.californicus,California mouse,46,,30,2,42,5.5
2547,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,crinitus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.crinitus,Canyon mouse,70,70,24,3,16.5,7.7
2548,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,eremicus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.eremicus,Cactus mouse,129,,26,2.6,25,7.4
2549,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,guatemalensis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.guatemalensis,Guatemalan deer mouse,,,,1.9,40,5.7
2550,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,leucopus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.leucopus,White-footed mouse,73,,26,4.5,23,7.9
2551,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.maniculatus,Deer mouse,49,,24,5,20.5,8.3
2552,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,polionotus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.polionotus,Oldfield mouse,28,,24,3.8,14,5.5
2553,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,truei,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Peromyscus.truei,Pinyon mouse,50,,26,3.4,25,5.4
2554,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,intermedius,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Phenacomys.intermedius,Western heather vole,37,,22,4.58,33,
2555,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,ungava,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Phenacomys.ungava,Eastern heather vole,38,,23,4.9,27,
2556,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,roborovskii,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Phodopus.roborovskii,Desert hamster,243,,21,6,,4.8
2557,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,sungorus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Phodopus.sungorus,Dzhungarian hamster,120,,20,5.5,23.4,3.9
2558,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phyllotis,darwini,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Phyllotis.darwini,Darwin's leaf-eared mouse,,,34,4,50.8,
2559,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Podomys,floridanus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Podomys.floridanus,Florida mouse,,,23,2.5,32,7.4
2560,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodon,auritus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Reithrodon.auritus,Bunny or coney rat,61,,,4.5,72.2,5.5
2561,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,humulis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Reithrodontomys.humulis,Eastern harvest mouse,105,,23,2.9,10.3,
2562,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,megalotis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Reithrodontomys.megalotis,Western harvest mouse,107,80,23,3.3,11,
2563,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rhipidomys,nitela,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Rhipidomys.nitela,Splendid climbing mouse,,,,,89,
2564,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Scotinomys,teguina,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Scotinomys.teguina,Alston's brown mouse,34,49,31,2.8,11.2,
2565,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Sigmodon.hispidus,Hispid cotton rat,40,40,27,5,185,5.2
2566,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,cooperi,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Synaptomys.cooperi,Southern bog lemming,,,23,3,27,
2567,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Tscherskia,triton,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Tscherskia.triton,Greater long-tailed hamster,,,,4.2,25,
2568,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Tylomys,nudicaudus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Tylomys.nudicaudus,Peters's climbing rat,82,109,40,2.4,280,5.4
2569,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Wiedomys,pyrrhorhinos,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Wiedomys.pyrrhorhinos,Red-nosed mouse,,,,3.8,47,
2570,Animalia,Chordata,Mammalia,Rodentia,Ctenodactylidae,Ctenodactylus,gundi,Animalia.Chordata.Mammalia.Rodentia.Ctenodactylidae.Ctenodactylus.gundi,Gundi,319,,74,1.9,288.8,5.8
2571,Animalia,Chordata,Mammalia,Rodentia,Ctenodactylidae,Pectinator,spekei,Animalia.Chordata.Mammalia.Rodentia.Ctenodactylidae.Pectinator.spekei,Speke's pectinator,,,,1.2,178,
2572,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,conoveri,Animalia.Chordata.Mammalia.Rodentia.Ctenomyidae.Ctenomys.conoveri,Chaco tuco-tuco,,,,,860,
2573,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,talarum,Animalia.Chordata.Mammalia.Rodentia.Ctenomyidae.Ctenomys.talarum,Tuco-tuco,243,243,102,4,100,
2574,Animalia,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Animalia.Chordata.Mammalia.Rodentia.Cuniculidae.Cuniculus.paca,Lowland paca,365,365,116,1,9000,16.3
2575,Animalia,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus,taczanowskii,Animalia.Chordata.Mammalia.Rodentia.Cuniculidae.Cuniculus.taczanowskii,Mountain paca,,,,1,8999.9,18.9
2576,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,azarae,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.azarae,Azara's agouti,,,,,2650,11.8
2577,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,cristata,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.cristata,Crested agouti,,,,2,2650,14
2578,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.fuliginosa,Black agouti,,,,,3500,18
2579,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,leporina,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.leporina,Agouti,193,,112,1,3265,17.8
2580,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,mexicana,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.mexicana,Mexican agouti,,,,,2700,13.1
2581,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,prymnolopha,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.prymnolopha,Black-rumped agouti,,,,1.5,2900,16.3
2582,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,punctata,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.punctata,Central American agouti,487,,112,2,2150,13.8
2583,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,ruatanica,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Dasyprocta.ruatanica,Ruatan agouti,,,,,,13.7
2584,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Myoprocta,acouchy,Animalia.Chordata.Mammalia.Rodentia.Dasyproctidae.Myoprocta.acouchy,Red acouchi,304,304,99,2,775,14.8
2585,Animalia,Chordata,Mammalia,Rodentia,Dinomyidae,Dinomys,branickii,Animalia.Chordata.Mammalia.Rodentia.Dinomyidae.Dinomys.branickii,Pacarana,,,253,2,12250,12.8
2586,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,elater,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Allactaga.elater,Small five-toed jerboa,142,142,,4.5,58.7,5.2
2587,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,euphratica,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Allactaga.euphratica,Euphrates jerboa,,,,5,232,4.2
2588,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,major,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Allactaga.major,Great jerboa,,,,4,350,7
2589,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,sibirica,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Allactaga.sibirica,Mongolian five-toed jerboa,,,,3.4,117.5,4.5
2590,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Jaculus,jaculus,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Jaculus.jaculus,Lesser Egyptian jerboa,327,137,38,3,55,7.3
2591,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Jaculus,orientalis,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Jaculus.orientalis,Greater Egyptian jerboa,,,35,2.5,134,5.5
2592,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Napaeozapus,insignis,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Napaeozapus.insignis,Woodland jumping mouse,256,,29,4,25,
2593,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Sicista,betulina,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Sicista.betulina,Northern birch mouse,365,365,31,5,8,
2594,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,hudsonius,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Zapus.hudsonius,Meadow jumping mouse,61,61,19,5.5,18,5.6
2595,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,princeps,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Zapus.princeps,Western jumping mouse,,,19,5.5,21,
2596,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Hoplomys,gymnurus,Animalia.Chordata.Mammalia.Rodentia.Echimyidae.Hoplomys.gymnurus,Armored rat,,,60,2.1,504,7
2597,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Makalata,didelphoides,Animalia.Chordata.Mammalia.Rodentia.Echimyidae.Makalata.didelphoides,Red-nosed armored tree-rat,,,,1.33,276,
2598,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,brevicauda,Animalia.Chordata.Mammalia.Rodentia.Echimyidae.Proechimys.brevicauda,Andean spiny rat. Short-tailed spiny-rat,,,,,285,6.8
2599,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,guairae,Animalia.Chordata.Mammalia.Rodentia.Echimyidae.Proechimys.guairae,Quaira spiny rat,85,90,64,2.8,400,
2600,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,guyannensis,Animalia.Chordata.Mammalia.Rodentia.Echimyidae.Proechimys.guyannensis,Cayenne spiny rat,148,146,64,2.4,356.5,
2601,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,semispinosus,Animalia.Chordata.Mammalia.Rodentia.Echimyidae.Proechimys.semispinosus,Spiny rat,146,146,64,2.4,500,5.8
2602,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Thrichomys,apereoides,Animalia.Chordata.Mammalia.Rodentia.Echimyidae.Thrichomys.apereoides,Brazilian spiny rat,178,,94,3.1,373.5,7
2603,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,prehensilis,Animalia.Chordata.Mammalia.Rodentia.Erethizontidae.Coendou.prehensilis,Prehensile-tailed porcupine,578,578,203,1,3900,26.6
2604,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,dorsatus,Animalia.Chordata.Mammalia.Rodentia.Erethizontidae.Erethizon.dorsatus,North American porcupine,1095,1095,210,1,8600,23.4
2605,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Sphiggurus,mexicanus,Animalia.Chordata.Mammalia.Rodentia.Erethizontidae.Sphiggurus.mexicanus,Mexican hairy dwarf porcupine,,,,1,2000,16.7
2606,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Sphiggurus,villosus,Animalia.Chordata.Mammalia.Rodentia.Erethizontidae.Sphiggurus.villosus,Orange-spined hairy dwarf porcupine,,,,1,1750,
2607,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Cratogeomys,castanops,Animalia.Chordata.Mammalia.Rodentia.Geomyidae.Cratogeomys.castanops,Yellow-faced pocket gopher,310,,,2,270,
2608,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Geomys,bursarius,Animalia.Chordata.Mammalia.Rodentia.Geomyidae.Geomys.bursarius,Plains pocket gopher,91,91,51,4,176.7,12
2609,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Geomys,personatus,Animalia.Chordata.Mammalia.Rodentia.Geomyidae.Geomys.personatus,Texas pocket gopher,,,,3.3,397,
