HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Commonname,fmat,Malematurity,diffmalefemalematurity,Gestation,Weaning,LitterClutchsize,LittersClutchesperyear,InterlitterInterbirthinterval,Birthweight,Weaningweight,Adultweight,Growthrate,Maximumlongevity,Source,Specimenorigin,Samplesize,Dataquality,IMR,MRDT,Metabolicrate,Bodymass,Temperature,References
3272,Animalia,Chordata,Reptilia,Squamata,Viperidae,Eristicophis,macmahonii,Animalia.Chordata.Reptilia.Squamata.Viperidae.Eristicophis.macmahonii,Mcmahon's viper,,,0,,,,,,,,,,14.6,485,captivity,small,acceptable,,,,,,485
3273,Animalia,Chordata,Reptilia,Squamata,Viperidae,Gloydius,blomhoffii,Animalia.Chordata.Reptilia.Squamata.Viperidae.Gloydius.blomhoffii,Japanese mamushi,,,0,,,,,,,,,,13.8,451,captivity,tiny,acceptable,,,,,,451
3274,Animalia,Chordata,Reptilia,Squamata,Viperidae,Lachesis,muta,Animalia.Chordata.Reptilia.Squamata.Viperidae.Lachesis.muta,Bushmaster,1460,1460,0,77,,10,,,,,,,31.6,451,captivity,medium,acceptable,,,,,,"448,451"
3275,Animalia,Chordata,Reptilia,Squamata,Viperidae,Macrovipera,lebetina,Animalia.Chordata.Reptilia.Squamata.Viperidae.Macrovipera.lebetina,Bluntnose viper,,,0,,,,,,,,,,13.3,485,captivity,small,acceptable,,,,,,485
3276,Animalia,Chordata,Reptilia,Squamata,Viperidae,Ophryacus,melanurus,Animalia.Chordata.Reptilia.Squamata.Viperidae.Ophryacus.melanurus,Black-tailed montane pit viper,,,0,,,,,,,,,,17.1,451,captivity,small,acceptable,,,,,,451
3277,Animalia,Chordata,Reptilia,Squamata,Viperidae,Ophryacus,undulatus,Animalia.Chordata.Reptilia.Squamata.Viperidae.Ophryacus.undulatus,Mexican horned pit viper,,,0,,,,,,,,,,14.9,451,captivity,small,acceptable,,,,,,451
3278,Animalia,Chordata,Reptilia,Squamata,Viperidae,Ovophis,okinavensis,Animalia.Chordata.Reptilia.Squamata.Viperidae.Ovophis.okinavensis,Okinawan habu,,,0,,,,,,,,,,19,451,captivity,tiny,acceptable,,,,,,"451,823"
3279,Animalia,Chordata,Reptilia,Squamata,Viperidae,Pseudocerastes,persicus,Animalia.Chordata.Reptilia.Squamata.Viperidae.Pseudocerastes.persicus,Persian horned viper,,,0,,,,,,,,,,17.1,451,captivity,small,acceptable,,,,,,451
3280,Animalia,Chordata,Reptilia,Squamata,Viperidae,Sistrurus,catenatus,Animalia.Chordata.Reptilia.Squamata.Viperidae.Sistrurus.catenatus,Massasauga,1100,1100,0,,,8,,,,,,,20,485,captivity,medium,acceptable,,,,,,"440,485"
3281,Animalia,Chordata,Reptilia,Squamata,Viperidae,Sistrurus,miliarius,Animalia.Chordata.Reptilia.Squamata.Viperidae.Sistrurus.miliarius,Pigmy rattlesnake,,,0,,,,,,,,,,16.1,485,captivity,medium,acceptable,,,,,,485
3282,Animalia,Chordata,Reptilia,Squamata,Viperidae,Sistrurus,ravus,Animalia.Chordata.Reptilia.Squamata.Viperidae.Sistrurus.ravus,Pygmy rattlesnake,,,0,,,,,,,,,,14.8,451,captivity,small,acceptable,,,,,,451
3283,Animalia,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,albolabris,Animalia.Chordata.Reptilia.Squamata.Viperidae.Trimeresurus.albolabris,White-lipped tree viper,,,0,,,,,,,,,,11.4,451,captivity,small,acceptable,,,,,,451
3284,Animalia,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,flavoviridis,Animalia.Chordata.Reptilia.Squamata.Viperidae.Trimeresurus.flavoviridis,Yellow-spotted pit viper,,,0,,,,,,,,,,24.9,451,captivity,small,acceptable,,,,,,"451,823"
3285,Animalia,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,gramineus,Animalia.Chordata.Reptilia.Squamata.Viperidae.Trimeresurus.gramineus,Indian green tree viper,,,0,,,,,,,,,,8.4,485,captivity,small,acceptable,,,,,,485
3286,Animalia,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,popeorum,Animalia.Chordata.Reptilia.Squamata.Viperidae.Trimeresurus.popeorum,Pope's pit viper,,,0,,,,,,,,,,14,485,captivity,small,acceptable,,,,,,485
3287,Animalia,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,stejnegeri,Animalia.Chordata.Reptilia.Squamata.Viperidae.Trimeresurus.stejnegeri,Stejneger's pit viper,,,0,,,,,,,,,,,,unknown,small,low,,,,,,451
3288,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,ammodytes,Animalia.Chordata.Reptilia.Squamata.Viperidae.Vipera.ammodytes,Long-nosed viper,,,0,,,,,,,,,,22,485,captivity,medium,acceptable,,,,,,485
3289,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,aspis,Animalia.Chordata.Reptilia.Squamata.Viperidae.Vipera.aspis,Asp viper,1460,1460,0,,,,,,,,,,25,527,unknown,medium,acceptable,,,,,,"2,527"
3290,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,berus,Animalia.Chordata.Reptilia.Squamata.Viperidae.Vipera.berus,Northern palaearctic viper,,,0,,,,,,,,,,19,451,captivity,medium,acceptable,,,,,,451
